date,user_name,id,message,reply,files
2022-03-27 14:18:34,tagaksk,U01EM350GSV,遅れてごめんなさい、今参加しました,
2022-03-27 14:05:00,1079430349,U01EY9ELQ64,<@U01EM350GSV> 都合どうですか？？,
2022-03-27 13:59:59,tripdancer0916,U01EY9E3HCG,このチャンネルのzoomで合ってますか・・？,
2022-02-26 09:34:53,1079430349,U01EY9ELQ64,"タイトル：確率的な位相のリセットによる集団振動の消失
概要：前回発表した内容の続きについて述べる．確率的に位相が0にリセットされる蔵本モデルを考える．このモデルでは振動子間相互作用やリセットの生じやすさを変化させると２通りのシナリオで集団振動が消失することが数値シミュレーションから示唆される．振動子数無限個の極限で二体相関が消えると仮定して導出した偏微分方程式を解析することで、これらの集団振動の消失を説明する曲線が得られる．",
2021-12-31 00:03:32,8289378469,U01JHNMBYG7,森野さんだ！D３だったら真っ先に応募してる案件だ...,
2021-12-29 15:38:05,tagaksk,U01EM350GSV,"中尾さんから公募案内をもらったんだけど、
身の回りにD3があまりいないのでとりあえずここに置いておきます。
ーーー
``` 中尾さん，
 
 九州大学の森野です，ご無沙汰しております．
 
 年の瀬のお忙しい中でのご連絡となり大変申し訳ないのですが，
 この度，私の研究室で博士研究員（九大では学術研究員と呼称）の公募をしておりまして，
 もし適切な方に心当たりがおありでしたら，この公募をご紹介頂けないかと思いまして，
 メールさせて頂きました．
 
 内容としては，
 結合振動子系などでモデル化される動的システムにおける障害頑健性の数理解析でして，
 これまでに私が解析してきた動的頑健性研究の拡張となります．
 主に関連する分野は力学系，非線形動力学，複雑系科学などです．
 
 任期は最長で令和６年１２月末（プロジェクト完了時）で，
 場所は九州大学筑紫キャンパス（福岡県）となります．
 公募締切は 2022年01月28日ですが，募集期間中も順次選考を行う予定です．
 
 公募情報の詳細は JREC-IN で
 <https://jrecin.jst.go.jp/seek/SeekJorDetail?fn=4&amp;id=D121121788&amp;ln_jor=0&amp;top_btn=1>
 データ番号：D121121788
 求人件名：九州大学大学院総合理工学研究院　学術研究員（博士研究員）の公募
 の様に公開しておりまして，
 近いうちに各種メーリングリストでもアナウンスする予定でおります．```",
2021-12-29 15:41:10,tagaksk,U01EM350GSV,,"森野さんのサイトを見た感じ、郡研の長岡さんがB4のときにやってた内容に近そう。
<https://sites.google.com/site/websitekaimorino/home/research#TOC--1>"
2021-08-11 12:24:09,1079430349,U01EY9ELQ64,"先日の発表では色々コメントありがとうございました．それらへの回答に関して，いくつか補足です
• 光以外で概日リズムは引き込めるかという話になったとき，概日リズムは温度補償性(温度が変わっても周期が変わりにくい)があるから温度は難しいかもと答えましたが，周期的な温度変化によるひきこみも可能でした(<https://doi.org/10.1073/pnas.0806741106|Yoshida et al. (2009)> )．一見，温度による引き込みと温度補償性は矛盾するように見えますが，温度補償性は定温条件下での話であり，一時的な温度変化は位相をずらすと考えると両立するみたいです．すっかり忘れていましたが，極端に温度が低くて振動が止まった概日リズムに周期的な温度変化を与えて振動を復活させるという研究を最近指導教員らがしてたことを思い出しました汗(<https://doi.org/10.1073/pnas.1620378114|Murayama et al. (2017)> )
• 積分と極限の順序の交換に関して，g(φ)がなめらかな必要があるかという質問がありましたが，そもそもp.12で伊藤の公式を用いて計算するところでgの２階微分まで必要なので，ある程度のなめらかさは順序交換に関わらず必要でした．",
2021-08-07 16:02:48,1079430349,U01EY9ELQ64,すみません，設定をミスっていたのか，チャットが保存されていなかったので，先程のzoomのチャットに投げた内容をこのスレッドにもう一度書いていただけませんでしょうか？覚えている範囲で大丈夫です．お手数おかけしますがよろしくおねがいします:bow:,
2021-08-07 16:03:35,8289378469,U01JHNMBYG7,,<https://www.amazon.co.jp/-/en/伊理-正夫/dp/4320013433/ref=sr_1_1?dchild=1&amp;keywords=数値計算の常識&amp;qid=1628319802&amp;sr=8-1>
