date,user_name,id,message,reply,files
2022-05-28 12:26:32,8289378469,U01JHNMBYG7,第19回（2022/05/28）時間依存パラメータSIRモデルを用いた最適なロックダウン緩和政策の探索,,F03HF34APPW_非平衡セミナー20220528.pdf
2022-05-28 12:28:13,8289378469,U01JHNMBYG7,,ところどころ適当になってる部分がありますがご容赦を…
2022-03-27 13:53:48,yoneda.ryosuke.56a,U01E8L4KZJ7,第18回 (2022/03/27)  ニューラルネットワークを用いたスケーリング解析,,F038MM7CHUN_slide.pdf
2022-01-22 15:59:22,tagaksk,U01EM350GSV,第16回(2022/01/22) モデルのモデル推定,,F02UYSYP9KQ_model_20220122.pdf
2021-12-05 14:57:57,tripdancer0916,U01EY9E3HCG,第15回(12/5) Bistable perceptionのニューラルネットワークを用いたメカニズム解析,,F02PJUC5459_20211205_Ichikawa.pdf
2021-10-30 14:29:19,8289378469,U01JHNMBYG7,<https://www.nature.com/articles/s42254-019-0040-8>,
2021-10-30 13:55:55,8289378469,U01JHNMBYG7,,,F02KMCP5AF4_Nagatani_2019.pdf
2021-10-30 13:54:49,8289378469,U01JHNMBYG7,<https://www.sciencedirect.com/science/article/abs/pii/S0378437119303590?via%3Dihub>,
2021-10-30 13:54:11,8289378469,U01JHNMBYG7,,,F02KMCZV4AF_s42256-021-00376-1.pdf
2021-10-30 13:53:49,8289378469,U01JHNMBYG7,<https://www.nature.com/articles/s42256-021-00376-1>,
2021-10-30 13:53:29,8289378469,U01JHNMBYG7,第14回(10/30) 成仏させたい話2つ,,F02K6N3NK5M_非平衡セミナー20211030.pdf
2021-09-19 12:40:58,yoneda.ryosuke.56a,U01E8L4KZJ7,第13回(9/19) ニューラルネットワークを用いたグリーン関数の学習,,F02EQJXBEFQ_20210919_yoneda.pdf
2021-09-19 15:06:25,yoneda.ryosuke.56a,U01E8L4KZJ7,,<https://arxiv.org/abs/2105.00266>
2021-08-07 15:50:54,1079430349,U01EY9ELQ64,第12回(8/7) 確率的なリセットを含む位相振動子の集団ダイナミクスの解析,,F02APFCHA5S_20210807_ozawa.pdf
2021-06-26 15:54:37,tagaksk,U01EM350GSV,第11回(6/26) Koopman spectral analysis of elementary cellular automata,,F025V1QQCCX_非平衡210626.pdf
2021-05-08 13:56:46,tripdancer0916,U01EY9E3HCG,第10回(5/8) Dynamical Mechanism of Sampling-based Stochastic Inference under Probabilistic Population Codes,,F021AL1R6JX_20210508_Ichikawa.pdf
2021-03-21 12:28:31,m.furuki0224,U01E5BG3QTF,"第9回 (3月21日) 離散微分形式による構造保存数値計算法
ノートの中身は未完成部分が多いです",,F01S4NCPVEY_structure_preserving_method_20210321.pdf
2021-02-13 16:04:44,8289378469,U01JHNMBYG7,第8回 (2月13日) 同期現象とTaylor's law,,F01MU5Z4ETG_非平衡セミナー(三井).pdf
2021-01-17 20:27:51,8289378469,U01JHNMBYG7,<@U01JHNMBYG7>さんがチャンネルに参加しました,
2021-01-17 18:37:04,yoneda.ryosuke.56a,U01E8L4KZJ7,第7回(1月17日) 結合振動子系において完全同期以外の安定平衡点を持つ密なネットワークの探索,,F01JHLPUAR5_20210117_yoneda.pdf
2020-12-05 23:41:29,1079430349,U01EY9ELQ64,第6回 (12月5日) 大小2つの摂動を受ける位相振動子モデルにおける平均化,,F01FTMEU4KZ_20201205_ozawa.pdf
2020-12-06 19:21:49,1079430349,U01EY9ELQ64,,"録画のURLです：
<https://drive.google.com/file/d/1pgKNfs-_Z_9yXLv3z-WlCa-u6N2h8yD8/view?usp=sharing>

一応，閲覧できるアカウントに制限かけてます． 閲覧が必要な方は上のリンクから共有リクエストをお願いします．"
2020-11-07 16:28:23,otkoamnoiawkai,U01DTMPPE0P,第5回（11月7日）回転分子モーターのエネルギー変換効率と温度,,F01E8L9755H_20201107_Okaniwa.pdf
2020-11-07 16:25:47,m.furuki0224,U01E5BG3QTF,(2020/10/10) Discrete Exterior Calculusを用いた、 安定性の保証された偏微分方程式の数値計算法,,F01E8E3EM42_slide_furuki_20201010.pdf
2020-11-07 16:23:06,tagaksk,U01EM350GSV,"第3回（7月20日）
感染症の数理モデルとその応用：ゾンビモード",
2020-11-07 18:07:35,tagaksk,U01EM350GSV,,,taga_infection.pdf
2020-11-07 16:22:53,tripdancer0916,U01EY9E3HCG,2020/9/7 ニューラルネットワークにおける確率的推論メカニズム,,F01E8E3TDTL_20200907_ichikawa.pdf
2020-11-07 16:21:23,yoneda.ryosuke.56a,U01E8L4KZJ7,第1回: スモールワールドネットワーク上の結合位相振 動子系における同期転移の臨界指数,,F01EY9FMK40_20200629_yoneda.pdf
2020-11-07 16:19:02,m.furuki0224,U01E5BG3QTF,<@U01E5BG3QTF>さんがチャンネルに参加しました,
2020-11-07 16:18:41,1079430349,U01EY9ELQ64,<@U01EY9ELQ64>さんがチャンネルに参加しました,
2020-11-07 16:18:37,otkoamnoiawkai,U01DTMPPE0P,<@U01DTMPPE0P>さんがチャンネルに参加しました,
2020-11-07 16:17:55,yoneda.ryosuke.56a,U01E8L4KZJ7,<@U01E8L4KZJ7>さんがチャンネルに参加しました,
2020-11-07 16:17:31,tripdancer0916,U01EY9E3HCG,<@U01EY9E3HCG>さんがチャンネルに参加しました,
2020-11-07 16:17:26,tagaksk,U01EM350GSV,<@U01EM350GSV>さんがチャンネルに参加しました,
